ObjectID,Accession Number,Object Number,Sort Number,Department,Classification,Acquisition Method,Object Status,Artist/Maker,Title,Object Name (Ctrl + Insert),Dated,Materials / Techniques,Dimensions,Description,Credit Line (Ctrl + Insert),Culture (Ctrl + Insert),Period/Dynasty (Ctrl + Insert),eMuseum Label Text
10739,1894.1,,1894     1,Asian Art,Ceramics,Gift,Permanent Collection,Chinese,Crackle-ware Vase,vase,19th century,Glazed porcelain,Overall: 8 1/2 × 5 in. (21.6 × 12.7 cm),Globular form vase with tall straight neck; grayish yellow crackle glaze on gray stoneware.,Gift of D. A. Bunker (OC 1883),Chinese,Qing Dynasty (1644-1911),"Crackle-ware may have begun as a mistake but it developed into one of the most prized glaze types in China and among Western collectors. It is created by sudden cooling: when the surface glaze cools more rapidly than the interior clay body, it causes contraction and leaves a pattern of cracks that the potter emphasizes by staining. 
<BR><BR>
This piece has the distinction of being the first work of Asian art registered in the collection of Oberlin College. It was donated in 1894 by Dalzell A. Bunker, an Oberlin alumnus who worked as a missionary in Korea from 1886 to 1926."
4249,1900.4,,1900     4,Asian Art,Prints,Found in Collection,Permanent Collection,Utagawa Hiroshige I  初代目歌川広重,"The Pine Tree of the Feathered Robe at Miho Bay near Ejiri, cut from sheet 6 of the harimaze series Pictures of the Fifty-three Stations of the Tōkaidō",woodblock print,1856,Color woodblock print,Image/Sheet: 2 × 13 3/16 in. (5.1 × 33.5 cm),"Tokaido Road
",Allen Memorial Art Museum,Japanese,Edo period (1615–1868),"This small woodblock print, with a white image on a black background, imitates the appearance of an ink rubbing. The subject is a pine tree made famous in the Noh play <i>Hagoromo 羽衣</i>, or <i>The Feathered Robe</i>. In it, a goddess known as a <i>tennin 天人</i> is flying over the pine grove at Miho Bay, and becomes captivated by the beautiful scenery. She removes her magical feathered robe to bathe, hanging it on a pine tree, where it is discovered by a fisherman. He refuses to return the robe until she agrees to dance for him. Since she cannot fly back to her home on the moon without it, she agrees. He returns her robe and she dances, while the chorus describes the beauty of the spring scenery and of her robe. In the end, she returns to the heavens.<br>
<br>
Utagawa Hiroshige made more than one famous print series inspired by the 53 way stations on the Tōkaidō, the road that linked Edo (Tokyo) with Kyoto. This print refers to one of those stops and was originally part of a <i>harimaze-e 張交絵 </i> print, reproduced above, a type that included multiple small subjects on a single sheet.
"
2727,1900.28,,1900    28,European Art,Prints,Found in Collection,Permanent Collection,Jean-François Millet,"Peasant Returning from the Manure Heap, or Man Pushing a Wheelbarrow",etching,1855–56,Etching,"Image: 6 1/4 × 5 in. (15.9 × 12.7 cm)
Plate: 6 1/2 × 5 1/4 in. (16.5 × 13.3 cm)
Sheet: 8 × 6 1/2 in. (20.3 × 16.5 cm)",,Allen Memorial Art Museum,French,,"Millet focused on the human figure – rather than on the natural landscape – to express the fundamental essence of the land. With simple monumental forms, he ennobled both the peasant and his agrarian labors in paintings, drawings and prints. This print repeats a composition Millet had already worked out in earlier drawings and paintings, leaving him free to concentrate on the technical challenges of the etched medium."
12652,1900.114,,1900   114,American Art,Prints,Gift,Permanent Collection,James S. Smillie,Voyage of Life: Youth,engraving,ca. 1853,Engraving,"Image: 15 × 22 1/4 in. (38.1 × 56.5 cm)
Sheet: 15 1/2 × 22 1/4 in. (39.4 × 56.5 cm)","One of a series of four engravings after paintings in Saint Luke's Hospital, N.Y. The series is now in the Munson-Williams-Proctor Institute in Utica, NY (since 1955). Engravings commissioned by American Art-Union for distribution to members.",Gift of Genevieve Brandt (OC 1904),American,,"Cole's Voyage of Life (1839-40) depicts life's phases in a cycle of four paintings: Childhood, Youth, Manhood, and Old Age. The series sketches an allegorical pilgrimage through the landscape as symbolic of an individual's progress to Christian salvation. The apparition of a fabulous cloud castle in Youth epitomizes the hopes, aspirations, and possibilities characteristic of the age. Smillie's engraved reproductions of the Voyage of Life were popular in homes throughout North America, and helped spread a romantic, allegorical reading of the native landscape."
2548,1900.123C,,1900   123C,Pre-Columbian and American Indian,Sculpture,Found in Collection,Permanent Collection,Tesuque Pueblo,Statuette Representing a Rain God,statuette,early 20th century,Pottery,Overall: 5 13/16 × 2 1/4 × 3 3/4 in. (14.8 × 5.7 × 9.5 cm),"One of three pinkish-gray pottery statuettes of presumably male figures with large open mouths, puffy slit eyes, and disproportionately short limbs. They are small rain gods.",Allen Memorial Art Museum,Tesuque Pueblo,,"This statuette was made as an imitation of a rain god, one of thousands produced in concurrence with the construction of the Santa Fe Railroad in the late 1800s. Made for the subsequent increase in tourism through the early 1900s, these objects were marketed as sacred but created solely for commercial purposes and never had ceremonial significance."
981,1902.1,,1902     1,Ancient Art,Sculpture,Gift,Permanent Collection,Roman,Portrait of an Isis Priest,sculpture,early 2nd century CE,Proconnesian marble (nose is a later repair),Overall: 12 × 7 5/8 × 9 1/2 in. (30.5 × 19.4 × 24.1 cm),Head is smoothly shaven. The x or cross mark that is behind the forehead on the right is traditionally thought to be symbolic of wounds Scipio the Elder recieved at the Battle of Ticinus in 218 BCE. It is more likely that this piece represents a priest serving the cult of Isis. This was a popular cult in Italy from the first through third centuries CE. Isis priests shaved their heads and early writers describe the branding of foriegn priests.,Gift of Mrs. Joseph Cook,Roman,Imperial period (27 BC–AD 393),"This man’s baldness and the “x” mark on his forehead likely mean that he was a priest of the Egyptian goddess Isis, who was worshiped across the Roman world and was associated with concepts like the cosmos, motherhood, and seafaring. Devotees to Isis underwent special initiation rituals led by priests and were guaranteed an afterlife. By contrast, the afterlife was ambiguous and not assured for Romans outside of these specific cults. This priest was likely wealthy, with the means to commission a marble portrait, though the priesthood of Isis was open to more socioeconomic classes than those of other Roman gods."
6718,1904.157,,1904   157,African Art and Oceania,Sculpture,Gift,Permanent Collection,Congolese,Carved Elephant Tusk Section,relief sculpture,1875–80,Ivory,Overall: 32 in. (81.3 cm),A section of an elephant tusk with carvings of figures and animals running the length of the tusk in a spiral.,Bequest of Charles F. and Abigail L. Olney,Central African,,"This ivory tusk, probably dating to the late 19th century, is an example of an important tradition of export art. A tusk this size would take approximately sixteen months to carve. The surface is covered with a lively series of everyday Loango life in relief that spiral the length of the tusk. The scenes are separate vignettes and not meant to be read as a continuous story. Tusks such as this one were nonfunctional and were made for Europeans as prestige souvenirs. European and indigenous people are portrayed alongside animals such as monkeys, fish, and crabs.
"
11117,1904.256,,1904   256,Asian Art,Jades,Gift,Permanent Collection,Chinese,Covered Vase with Archaistic Cicada Motif,vase,17th–18th century,Jade (nephrite),Overall: 7 × 3 in. (17.8 × 7.6 cm),"Greenish-white and yellow jade in a flattened, vase-shaped form with receding base and contracted neck, on which are two handles in the form of spiral scrools. A low-relief palated border is carved at the shoulder. The cover is uncarved.",Bequest of Charles F. and Abigail L. Olney,Chinese,Qing dynasty (1644–1911),"The abstract triangular forms around the waist of this vessel are stylized cicadas: the wings hang down to make the sides of the triangle, and the small eyes can be seen at either edge of the top. In its original Shang dynasty ritual context the motif may have symbolized rebirth or transformation, like cicadas that emerge from the earth after long periods of growth. In this case, the vessel shape and understated low-relief decorations enhance the simple beauty of the polished stone.
"
11602,1904.332,,1904   332,Asian Art,Ceramics,Gift,Permanent Collection,Itō Tōzan 伊東陶山,Bowl with Interior Floral and Butterfly Design and Exterior Wisteria Design,bowl,late 19th century,Glazed pottery with overglaze enamel colors and gold,Overall: 3 × 5 in. (7.6 × 12.7 cm),"Interior designed with a six-pointed star, floral brocading, gold tracery, butterflies, and a palm leaf border; exterior is decorated with a border of gold arabesques enclosing a wide field with wisteria and foliage.
Ito Tozan",Bequest of Charles F. and Abigail L. Olney,Japanese,Meiji period (1868–1912),"In 1868, the Japanese Meiji emperor deposed the last Shogun and initiated a series of sweeping political, social, economic, and cultural changes that transformed Japan into a modern, international superpower. As one aspect of these changes, the Meiji government encouraged the growth of a vigorous art industry, the products of which were meant to impress the world with their superior craftsmanship, as well as bring Japan much needed foreign revenue. This bowl is an excellent example of a particular new type of Meiji ceramic art called Satsuma ware. 
<br><br>
Named for a superficial resemblance to an earlier type of ceramic produced in the region of Satsuma on Kyushu Island, Meiji Satsuma wares featured earthenware bodies that were covered with a thick ivory glaze and lavishly decorated with colored enamels and gold. The best examples were painted with extraordinarily fine designs; in some cases, the artists used single-hair brushes and jeweler's glasses to create their delicate images. The clouds of tiny butterflies on the interior of this bowl would have required just such a painstaking technique. The bowl was painted by a Tokyo-based artist named Itô Tôzan, who had initially studied conventional brush painting before becoming a ceramic decorator in the 1880s. His Satsuma wares won prizes at international exhibitions in Paris, Chicago, and Amsterdam in the 1890s and early 1900s. In 1917, he was made a member of the prestigious Imperial Art Academy in Tokyo. One of his sons also became a noted ceramic painter. 
<br><br>
The bowl came to Oberlin in a bequest from the important Cleveland collector Charles F. Olney. The Olney bequest included hundreds of Meiji-period Japanese art objects in a wide range of media, including ceramic, enamel, bronze, and ivory. Today, only a fraction of the original Olney collection remains, but the surviving works include examples that represent the outstanding achievements of Meiji art.  
"
892,1904.428,,1904   428,American Art,Paintings,Gift,Permanent Collection,Edward Moran,"Ruins of Aspinwall Castle, Staten Island",painting,1880s,Oil on board,"Overall: 4 3/4 × 4 in. (12.1 × 10.2 cm)
Frame: 12 1/4 × 11 3/8 × 2 1/4 in. (31.1 × 28.9 × 5.7 cm)",,Bequest of Charles F. and Abigail L. Olney,American,,"Edward Moran was famous for his seascapes and for mentoring his younger brother, the painter Thomas Moran. In this painting, Moran depicts the ruins of a mansion that had once belonged to the successful merchant and shipbuilder William H. Aspinwall and had burned to the ground some time before 1880. Set ablaze by the sunset, the dark silhouette and gaping amorphous windows of the charred ruins remind the viewer of the destructive, inevitable forces of nature and the fragility of manmade structures. The impending darkness perhaps suggests the transience of human life as well."
